2026-04-30 21:25:33,642 - Suspicious traffic detected! | pps: 51.00 | avg_size: 1657.78 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:25:40,095 - Suspicious traffic detected! | pps: 85.00 | avg_size: 1619.59 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:25:46,084 - Suspicious traffic detected! | pps: 64.00 | avg_size: 1332.91 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:25:54,141 - Suspicious traffic detected! | pps: 102.00 | avg_size: 1357.45 | tcp_ratio: 0.88 | udp_ratio: 0.12
2026-04-30 21:25:55,148 - Suspicious traffic detected! | pps: 116.00 | avg_size: 875.14 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:25:59,206 - Suspicious traffic detected! | pps: 103.00 | avg_size: 1422.72 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 21:26:00,211 - Suspicious traffic detected! | pps: 59.00 | avg_size: 1452.19 | tcp_ratio: 0.85 | udp_ratio: 0.15
2026-04-30 21:26:09,963 - Suspicious traffic detected! | pps: 193.00 | avg_size: 2224.77 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:26:12,724 - Suspicious traffic detected! | pps: 97.00 | avg_size: 117.91 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:26:51,746 - Suspicious traffic detected! | pps: 94.00 | avg_size: 1600.61 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:27:06,617 - Suspicious traffic detected! | pps: 86.00 | avg_size: 1884.67 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:27:08,584 - Suspicious traffic detected! | pps: 121.00 | avg_size: 737.16 | tcp_ratio: 0.93 | udp_ratio: 0.07
2026-04-30 21:27:17,532 - Suspicious traffic detected! | pps: 117.00 | avg_size: 1366.06 | tcp_ratio: 0.95 | udp_ratio: 0.05
